Scratch-Off Prizes as of 03/18/2012
Game Number, Game Name, Game Close Date, Ticket Price, Prize Level, Total Prizes in Level, Prizes Claimed
1370,Silver Bells,05/30/2012,5,5,1436949,877969
1370,Silver Bells,05/30/2012,5,10,1436840,895488
1370,Silver Bells,05/30/2012,5,20,403952,255689
1370,Silver Bells,05/30/2012,5,50,187334,119061
1370,Silver Bells,05/30/2012,5,100,23566,14908
1370,Silver Bells,05/30/2012,5,500,2376,1525
1370,Silver Bells,05/30/2012,5,1000,1243,760
1370,Silver Bells,05/30/2012,5,5000,52,35
1370,Silver Bells,05/30/2012,5,175000,10,6
1370,Silver Bells,05/30/2012,5,TOTAL,3492322,2165441
1371,Holiday Gold,05/02/2012,2,2,575296,506065
1371,Holiday Gold,05/02/2012,2,3,632687,557466
1371,Holiday Gold,05/02/2012,2,4,230190,204251
1371,Holiday Gold,05/02/2012,2,5,114947,102912
1371,Holiday Gold,05/02/2012,2,10,14411,12837
1371,Holiday Gold,05/02/2012,2,15,28717,25839
1371,Holiday Gold,05/02/2012,2,20,57517,51724
1371,Holiday Gold,05/02/2012,2,40,19508,17810
1371,Holiday Gold,05/02/2012,2,50,18550,16903
1371,Holiday Gold,05/02/2012,2,100,6281,5634
1371,Holiday Gold,05/02/2012,2,200,1207,1066
1371,Holiday Gold,05/02/2012,2,500,593,512
1371,Holiday Gold,05/02/2012,2,1000,59,50
1371,Holiday Gold,05/02/2012,2,20000,7,6
1371,Holiday Gold,05/02/2012,2,TOTAL,1699970,1503075
1372,Cash Blast,,5,5,904725,678807
1372,Cash Blast,,5,10,411147,311363
1372,Cash Blast,,5,15,246717,190977
1372,Cash Blast,,5,20,164478,126994
1372,Cash Blast,,5,50,64380,50534
1372,Cash Blast,,5,100,11790,9157
1372,Cash Blast,,5,500,1044,825
1372,Cash Blast,,5,2000,62,42
1372,Cash Blast,,5,50000,6,4
1372,Cash Blast,,5,TOTAL,1804349,1368703
1373,Season's Greetings,05/02/2012,10,10,580401,511328
1373,Season's Greetings,05/02/2012,10,20,497872,444448
1373,Season's Greetings,05/02/2012,10,50,124417,112106
1373,Season's Greetings,05/02/2012,10,100,31167,27831
1373,Season's Greetings,05/02/2012,10,500,4655,4251
1373,Season's Greetings,05/02/2012,10,1000,282,250
1373,Season's Greetings,05/02/2012,10,5000,16,14
1373,Season's Greetings,05/02/2012,10,250000,5,3
1373,Season's Greetings,05/02/2012,10,TOTAL,1238815,1100231
1374,Armadillo Cash,05/02/2012,1,1,1037811,890677
1374,Armadillo Cash,05/02/2012,1,2,691797,601516
1374,Armadillo Cash,05/02/2012,1,4,276732,245445
1374,Armadillo Cash,05/02/2012,1,5,103711,93376
1374,Armadillo Cash,05/02/2012,1,10,51862,46695
1374,Armadillo Cash,05/02/2012,1,20,34620,30833
1374,Armadillo Cash,05/02/2012,1,50,17344,15505
1374,Armadillo Cash,05/02/2012,1,100,171,150
1374,Armadillo Cash,05/02/2012,1,200,129,103
1374,Armadillo Cash,05/02/2012,1,3000,41,34
1374,Armadillo Cash,05/02/2012,1,TOTAL,2214218,1924334
1376,Elvis,,2,2,907802,622950
1376,Elvis,,2,4,648430,459521
1376,Elvis,,2,5,97191,68797
1376,Elvis,,2,10,113568,83041
1376,Elvis,,2,20,64815,47364
1376,Elvis,,2,50,26694,19905
