Scratch-Off Prizes as of 03/14/2012
Game Number, Game Name, Game Close Date, Ticket Price, Prize Level, Total Prizes in Level, Prizes Claimed
1343,"Monthly Bonus","04/09/2012",5,"200","6968","5798"
1343,"Monthly Bonus","04/09/2012",5,"2000","220","185"
1343,"Monthly Bonus","04/09/2012",5,"20000","41","34"
1343,"Monthly Bonus","04/09/2012",5,"$10,000/month**","4","4"
1343,"Monthly Bonus","04/09/2012",5,TOTAL,"3129177","2572356"
1348,"'7-11-21®","",1,"1","143275","56599"
1348,"'7-11-21®","",1,"2","37257","15028"
1348,"'7-11-21®","",1,"3","34363","13953"
1348,"'7-11-21®","",1,"4","8602","3520"
1348,"'7-11-21®","",1,"5","5731","2353"
1348,"'7-11-21®","",1,"6","5737","2333"
1348,"'7-11-21®","",1,"10","5731","2378"
1348,"'7-11-21®","",1,"20","1231","509"
1348,"'7-11-21®","",1,"50","143","60"
1348,"'7-11-21®","",1,"300","29","15"
1348,"'7-11-21®","",1,TOTAL,"242099","96748"
1349,"Set For Life","",10,"10","1448444","127"
1349,"Set For Life","",10,"20","1206882","120"
1349,"Set For Life","",10,"50","201222","21"
1349,"Set For Life","",10,"100","162517","18"
1349,"Set For Life","",10,"200","25356","1"
1349,"Set For Life","",10,"500","3544",""
1349,"Set For Life","",10,"1000","308",""
1349,"Set For Life","",10,"2500","205",""
1349,"Set For Life","",10,"$250,000/year**","3",""
1349,"Set For Life","",10,TOTAL,"3048481","287"
1350,"Bingo Multi-Prize","",5,"5","2625528","1588200"
1350,"Bingo Multi-Prize","",5,"10","720871","436669"
1350,"Bingo Multi-Prize","",5,"15","360432","221583"
1350,"Bingo Multi-Prize","",5,"20","308940","188594"
1350,"Bingo Multi-Prize","",5,"25","149367","92843"
1350,"Bingo Multi-Prize","",5,"30","41909","25972"
1350,"Bingo Multi-Prize","",5,"40","38590","23546"
1350,"Bingo Multi-Prize","",5,"50","66347","40920"
1350,"Bingo Multi-Prize","",5,"75","16769","10227"
