Scratch-Off Prizes as of 03/28/2012
Game Number, Game Name, Game Close Date, Ticket Price, Prize Level, Total Prizes in Level, Prizes Claimed
1371,Holiday Gold,05/02/2012,2,3,632687,559110
1371,Holiday Gold,05/02/2012,2,4,230190,204808
1371,Holiday Gold,05/02/2012,2,5,114947,103224
1371,Holiday Gold,05/02/2012,2,10,14411,12860
1371,Holiday Gold,05/02/2012,2,15,28717,25902
1371,Holiday Gold,05/02/2012,2,20,57517,51849
1371,Holiday Gold,05/02/2012,2,40,19508,17844
1371,Holiday Gold,05/02/2012,2,50,18550,16932
1371,Holiday Gold,05/02/2012,2,100,6281,5643
1371,Holiday Gold,05/02/2012,2,200,1207,1066
1371,Holiday Gold,05/02/2012,2,500,593,512
1371,Holiday Gold,05/02/2012,2,1000,59,50
1371,Holiday Gold,05/02/2012,2,20000,7,6
1371,Holiday Gold,05/02/2012,2,TOTAL,1699970,1507519
1372,Cash Blast,,5,5,904725,701169
1372,Cash Blast,,5,10,411147,321436
1372,Cash Blast,,5,15,246717,197097
1372,Cash Blast,,5,20,164478,131085
1372,Cash Blast,,5,50,64380,52071
1372,Cash Blast,,5,100,11790,9463
1372,Cash Blast,,5,500,1044,849
1372,Cash Blast,,5,2000,62,44
1372,Cash Blast,,5,50000,6,5
1372,Cash Blast,,5,TOTAL,1804349,1413219
1373,Season's Greetings,05/02/2012,10,10,580401,513061
1373,Season's Greetings,05/02/2012,10,20,497872,445785
1373,Season's Greetings,05/02/2012,10,50,124417,112437
1373,Season's Greetings,05/02/2012,10,100,31167,27915
1373,Season's Greetings,05/02/2012,10,500,4655,4263
1373,Season's Greetings,05/02/2012,10,1000,282,251
1373,Season's Greetings,05/02/2012,10,5000,16,15
1373,Season's Greetings,05/02/2012,10,250000,5,3
1373,Season's Greetings,05/02/2012,10,TOTAL,1238815,1103730
1374,Armadillo Cash,05/02/2012,1,1,1037811,896221
1374,Armadillo Cash,05/02/2012,1,2,691797,604747
1374,Armadillo Cash,05/02/2012,1,4,276732,246752
1374,Armadillo Cash,05/02/2012,1,5,103711,93804
1374,Armadillo Cash,05/02/2012,1,10,51862,46863
1374,Armadillo Cash,05/02/2012,1,20,34620,30962
1374,Armadillo Cash,05/02/2012,1,50,17344,15554
1374,Armadillo Cash,05/02/2012,1,100,171,150
1374,Armadillo Cash,05/02/2012,1,200,129,103
1374,Armadillo Cash,05/02/2012,1,3000,41,34
1374,Armadillo Cash,05/02/2012,1,TOTAL,2214218,1935190
1376,Elvis,,2,2,907802,643155
1376,Elvis,,2,4,648430,474558
1376,Elvis,,2,5,97191,70989
1376,Elvis,,2,10,113568,85686
1376,Elvis,,2,20,64815,48807
1376,Elvis,,2,50,26694,20493
1376,Elvis,,2,100,7588,5782
1376,Elvis,,2,1000,55,43
1376,Elvis,,2,20000,8,6
1376,Elvis,,2,TOTAL,1866151,1349519
1377,$100000 Extreme Cash,,5,5,675948,504381
1377,$100000 Extreme Cash,,5,10,1013880,762704
1377,$100000 Extreme Cash,,5,20,193122,146631
1377,$100000 Extreme Cash,,5,50,86821,66351
1377,$100000 Extreme Cash,,5,100,15097,11473
1377,$100000 Extreme Cash,,5,500,1082,821
1377,$100000 Extreme Cash,,5,1000,133,100
1377,$100000 Extreme Cash,,5,100000,7,4
1377,$100000 Extreme Cash,,5,TOTAL,1986090,1492465
1378,Instant Cash Five,05/30/2012,1,Cash Five&reg; Quick Pick,1728950,1444488
1378,Instant Cash Five,05/30/2012,1,1,968241,818757
1378,Instant Cash Five,05/30/2012,1,2,899137,779290
1378,Instant Cash Five,05/30/2012,1,4,138258,122009
1378,Instant Cash Five,05/30/2012,1,5,103739,90982
